company,job_posting_time,number_applicant,job_title,job_description,seniority_level,job_function,industries
NRI (Nomura Research Institute),4 months ago,171,Machine Learning Engineer (MLE),"Translate and refine business goals into appropriate machine learning objectives.Design and implement ML/DL solutions and integrate them with various Big Data platforms and architectures.Create and maintain ML pipelines that are scalable, robust, and ready for production.Collaborate with domain experts, software developers, and data scientists.Troubleshoot ML/DL model issues, including recommendations for retrain, re-validate, and improvements/optimization. Hands-on experience in building ML models deployed into real-world business applications or research.Working knowledge of ML/DL algorithms (classification, regression, clustering, hyperparameter tuning, etc).Proficiency with Python and libraries for machine learning such as scikit-learn and pandas.Good understanding of Deep learning frameworks such as Tensorflow, Keras, PyTorch, MXNet, etc.Experience in using computer vision libraries such as OpenCV, PIL. Experience working with cloud services platform (AWS or GCP) to build ML/DL pipelines.Experience in multi-GPU model training with CUDA.Experience in ML experiment tracking tools (e.g. WandB, Neptune, TensorBoard).Experience in model deployment using Docker (e.g. AWS SageMaker, Google Kubernetes Engine).Experience in model compression or quantization for on-edge-device inference.Experience with Continuous Integration and Continuous Delivery(CI/CD).Relevant certifications in machine learning and cloud technologies (e.g., AWS, Coursera) would be a plus.",Associate,Engineering and Information Technology,IT Services and IT Consulting
Visa,2 weeks ago,180,"Data Science Lead, Visa Consulting & Analytics, Indonesia","Lead , execute and deliver data science engagements for Indonesia clientsDefine detailed scope and methodology, design and create solutions, execute on frameworks leveraging appropriate tools and techniquesBuild strong relationships with Visa partners and clients, and corresponding data science&analytics teams to drive collaboration and implementation of Visa recommendations, track impactEnsure consistency, standards & quality control of data science work, with all project documentation up to dateActively seek out opportunities to innovate by using Visa’s data, client’s data and non-traditional data fit for purpose to the needs of our clientsEnhance existing data science techniques by promoting new methodologies and best practices in the fieldPromote thought leadership in the data science domain and build intellectual property through innovationEffectively interact with clients and manage internal/external stakeholder communicationMentor, guide and supervise data scientists in the project team  Degree (Masters or Ph.D. would be an advantage) in Quantitative field such as Statistics, Mathematics, Operational Research, Computer Science, Economics, or engineering or equivalent experience Minimum 10 years of professional work experience in banking, payments or related industry Hands on experience with data analytics/programming tools such as SAS/Salford SPM/Hadoop/R/SQL/Python/Hive, and a working knowledge of Hadoop ecosystem Proficiency in statistical techniques: Neural Networks, Gradient Boosting, Linear & Logistic Regression, Decision Trees, Random Forests, Markov Chains, Support Vector Machines, Clustering, Principal Component Analysis, Factor analysis, etc Demonstrated experience in planning, organizing, and managing multiple and concurrent analytics projects with diverse cross-functional stakeholders Strong internal team and external client stakeholder management with a collaborative, diplomatic, and flexible style, able to work effectively in a matrixed organization Excellent presentation and storytelling skills, including strong oral and written capabilities Storyboarding and data storytelling including strong Excel and PowerPoint skills In market experience and/or knowledge of local language, culture as well as industry regulations  Strong understanding of payments and/or banking industry including consumer credit, consumer debit, small business, commercial, co-brand and merchant Strong hold on MS Excel and PowerPoint Strong commercial acumen, with experience in working on business/value cases that prove ROI",Mid-Senior level,Other,IT Services and IT Consulting
,,,,,,,
KECILIN,1 day ago,Be among the first 25 applicants,Python Developer,"Design, develop, and maintain interactive and visually appealing dashboards using Python frameworks.Integrate data from various sources into the dashboards, ensuring accuracy and reliability.Customize dashboards based on client requirements.Conduct testing to ensure responsiveness and reliability.Provide configuration options for users to personalize their dashboard experience.Identify and implement optimizations for dashboard performance.Collaborate with frontend developers to integrate backend logic with frontend components.Collaborate with UX/UI designers to ensure a seamless and intuitive user experience.Document code, processes, and configurations for reference and future maintenance.Create user documentation for dashboard usage and configuration. Bachelor's degree in Computer Science, Engineering, or a related field from a top university.Proven experience in Python development with a focus on dashboard creation.have good knowledge of Python (Flask or Django), Blacksheep, HTML, CSS, and JavaScript.Strong problem-solving and communication skills.Able to work full time on site (Yogyakarta)",Entry level,Engineering and Information Technology,Software Development
"UNIRAMA DUTA NIAGA, PT",5 days ago,Be among the first 25 applicants,Big Data Scientist," Data Modeling and Analysis: - Design and implement efficient MongoDB data models for optimal performance. - Conduct in-depth analysis of large datasets to extract meaningful business insights. Data Integration: - Collaborate with cross-functional teams to integrate data from various sources into the MongoDB environment. - Ensure data consistency, accuracy, and availability for analytical purposes. Algorithm Development: - Develop advanced algorithms for predictive analytics and machine learning using MongoDB as a primary data store. - Implement and optimize algorithms to support real-time data processing. Performance Optimization: - Identify and address performance bottlenecks in MongoDB databases. - Optimize queries and indexing strategies to enhance overall system efficiency. Data Visualization: - Create compelling visualizations to communicate complex data insights to non-technical stakeholders. - Work closely with business analysts to understand reporting requirements and deliver actionable visualizations.  Bachelor's or Master's degree in Computer Science, Data Science, or a related field. Proven experience (4+ years) as a Big Data Scientist with a focus on MongoDB. Strong proficiency in MongoDB database design, querying, and administration. Advanced skills in data analysis, statistical modeling, and machine learning. Proficiency in programming languages such as Python, Java, or Scala. Experience with big data technologies and frameworks (e.g., Hadoop, Spark) is a plus. Excellent communication and collaboration skills.",Entry level,Engineering and Information Technology,Manufacturing
"UNIRAMA DUTA NIAGA, PT",5 days ago,Be among the first 25 applicants,AI Engineer,"Design, implement, and maintain machine learning models and algorithms.Collaborate with cross-functional teams to understand business requirements and translate them into AI solutions.Conduct data analysis to identify trends, patterns, and insights that can inform model development.Stay up-to-date with the latest advancements in AI and machine learning technologies.Participate in code reviews and provide constructive feedback to peers.Contribute to the documentation of code, processes, and best practices.Troubleshoot and debug issues in AI applications. Bachelor's or Master's degree in Computer Science, Artificial Intelligence, or a related field.Proven experience in developing and implementing machine learning models.Proven experience in utilizing Open AIExperience with data scrapingStrong programming skills in languages such as Python, Java, or C++.Familiarity with popular machine learning frameworks (e.g., TensorFlow, PyTorch).Experience with data preprocessing, feature engineering, and model evaluation.Good understanding of algorithms, data structures, and software design principles.Excellent problem-solving and analytical skills.Effective communication and collaboration skills in a team environment.Experience with natural language processing (NLP) and computer vision.Knowledge of cloud platforms (e.g., AWS, Azure, Google Cloud).Familiarity with deployment and monitoring of machine learning models in production.Previous work on projects related to autonomous systems or robotics.",Entry level,Engineering and Information Technology,Manufacturing
Michael Page,6 months ago,175,Data Science (US-based Firm),"Chance to work closely with C-levels/founders|Bali-based for a year, remote working afterward Collect, clean, and preprocess large-scale datasets from various sources for analysis.Apply statistical analysis techniques and mathematical modeling to uncover patterns, trends, and relationships within the data.Develop and implement machine learning algorithms for data classification, regression, clustering, or recommendation systems.Utilize programming languages (such as Python, R, or SQL) and data manipulation techniques to extract, transform, and load data for analysis.Build predictive models to support business decision-making, optimize processes, or solve specific problems.Conduct hypothesis testing, statistical inference, and perform rigorous validation of models and findings.Visualize data and present results in a clear, concise, and visually appealing manner to stakeholders.Collaborate closely with cross-functional teams, including data engineers, business analysts, and domain experts, to identify data requirements and provide insights that drive actionable outcomes.Stay up-to-date with the latest advancements in data science, machine learning, and statistical modeling techniques, and identify opportunities for their application in our organization.Communicate complex technical concepts and findings to non-technical stakeholders effectively. Collaborate with the investment team to develop and implement quantitative models, algorithms, and strategies for impact-focused investment decisions.Conduct statistical analysis, time series analysis, and data mining to identify patterns, trends, and opportunities in financial and alternative data sources.Support portfolio optimization, risk management, and performance measurement through quantitative analysis and backtesting. A bachelor's or master's degree in a quantitative field such as Mathematics, Statistics, Computer Science, or a related discipline. A Ph.D. is a plus. Demonstrated exceptional academic performance as evidenced by being in the top 20% of graduates, and/or possess an outstanding university transcript reflecting consistently high grades and a strong academic record.Proven experience as Data Scientist or a similar role, demonstrating a strong background in data analysis, statistical modeling, and machine learning.Strong mathematical and statistical skills, with the ability to apply advanced techniques to solve complex problems.Solid understanding of experimental design, hypothesis testing, and statistical inference.Excellent data visualization skills, with the ability to effectively communicate complex findings to both technical and non-technical audiences.Strong problem-solving abilities and a detail-oriented approach to data analysis.Effective communication and collaboration skills, with the ability to work in cross-functional teams and contribute to a collaborative work environment.Solid understanding of data engineering concepts, including data modeling, ETL (Extract, Transform, Load) processes, data warehousing, and data integration.Proficiency in programming languages such as Python or R, and familiarity with data manipulation tools and techniques (SQL, Pandas, NumPy, etc.).Experience with machine learning frameworks (such as scikit-learn, TensorFlow, or PyTorch) and knowledge of various algorithms for classification, regression, clustering, or recommendation systems.Familiarity with quantitative finance concepts, investment strategies, and financial data sources. Chance to work closely with C-levels/foundersBali-based for a year, remote working afterwardGreat opportunity for investment/trading enthusiasts",Entry level,Engineering and Information Technology,"Banking, Financial Services, and Accounting"
Grab,5 days ago,53,Senior Economist (Data Scientist),"This is a cross-vertical role. We have a strong focus on, but are not limited to, the mobility and deliveries businessesWe are not limited to any particular problem space but typically focus on problem areas that benefit from a scalable data science solution and involve optimising marketplace efficiency or quantifying marketplace trade-offsProjects will often require a combination of strategic thinking, communication, data analytics, and data science skills. Develop a deep understanding of our marketplace products and operations through discussions with product, strategy, and business teams around the regionDiagnose problems, identify key solutions and drive alignment with stakeholdersCoding work to build working prototypes to enable rapid experimentationDesign experiments and analyse results to evaluate impact and develop new insightsLead discussions with product, strategy and business teams to drive changes in our product and operational strategy and translate validated insights into scaled-up, deployed products  A Bachelor’s degree or above in Economics, Analytics, Data Science, Computer Science, Finance or related quantitative fields2+ years of working experience in Economics, Analytics, Data Science, Computer Science, Finance or related quantitative fieldsAbility to quickly grasp the fundamentals of a variety of businesses through a strong understanding of human behaviour, economic principles or strategic thinkingAbility to translate ideas into technical solutionsExperience with SQL, and Python or R to implement data analytics or data science techniques on large datasetsEffective communication skills and the ability to present complex subjects coherently to diverse audiences comprising generalists and specialistsFlexibility, passion, and energy to drive projects independently, while being able to collaborate effectively in a team environment as well Strong foundation in experimentation and causal inference techniquesExperience with Spark and big dataExperience developing packages in Python, R or other languagesExperience deploying machine learning models in production",Mid-Senior level,Finance and Sales,"Technology, Information and Internet"
TyrAds,1 week ago,28,Data Scientist," Develop and implement machine learning models to solve complex business problems. Analyse large, complex data sets to identify patterns, trends, and insights. Collaborate with cross-functional teams to understand business needs and deliver data-driven solutions. Build and maintain data pipelines and ensure data quality and integrity. Communicate findings and recommendations to technical and non-technical stakeholders. Stay up-to-date with emerging technologies and data science techniques.  Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or related field. Minimum of 2-3 years of experience in data science or machine learning roles. Strong programming skills in Python, R, or other programming languages. Experience with machine learning algorithms such as supervised and unsupervised learning, deep learning, and reinforcement learning. Experience with data visualisation tools such as Tableau, Power BI, or D3.js. Strong analytical and problem-solving skills. Excellent communication and collaboration skills. Experience with distributed computing frameworks such as Apache Spark, Hadoop, or Dask. Experience with cloud computing platforms such as AWS, GCP, or Azure. Experience with natural language processing (NLP) and computer vision (CV) applications. Experience with software development practices such as version control, code reviews, and testing.  We have a supportive team atmosphere and a positive work environment. Pay Rate is determined by experience and bonus from on-time deliveries. Wear anything you like to the office – and be as comfortable at work as you are in your own living room. Personal improvement plan, on job assistance. In-office: daily fruit + juice + snacks, good coffees. In-office: multiple workplaces, creative stations, excellent work environment.",Associate,Other,Advertising Services
TrimCheck,5 days ago,Be among the first 25 applicants,Swift Developer,"Writing well-designed, testable and efficient code.Working as a part of a dynamic team to deliver winning releases.Providing code documentation and other inputs to technical documents.Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.Troubleshooting and debugging to optimise performance. You possess a Degree/Diploma in Computer Science, Engineering or related field.You possess strong knowledge of Swift (min. 4 yrs experience)Expert knowledge of the iOS SDK (UIKit, Storyboards, Core Animation, Core Data, Auto-layout)Knowledge of Unit Testing frameworks, ideally some understanding of Automation testing.Experience with dependency managers (e.g. CocoaPods, Swift Package Manager).Java experience is a great bonusKnowledge about CI/CDFamiliarity with using Scrum/Agile development methodologies.You are highly goal driven and work well in fast paced environmentsYou are adaptable and thrive in changing environmentsAbility to break down complex requirements into workable tasks. Leadership RoleAttractive salary & benefitsWork alongside & learn from best in class talent",Entry level,Engineering and Information Technology,Software Development
KECILIN,1 week ago,181,AI Engineer,"Design, develop, and deploy AI models for computer vision tasks such as object classification, detection and tracking, and segmentationWork with a team of engineers and scientists to develop and implement new computer vision algorithmsDeploy AI models to production environments and monitor their performanceCollaborate with other teams to integrate AI solutions into our products and servicesStay up-to-date on the latest advances in AI and computer vision Bachelor’s/Master's degree in Computer Science, Artificial Intelligence, or a related field2+ years of experience in AI and machine learningExperience with full stack deployments (Skills required - Front-end (HTML, CSS, JavaScript), Backend (NodeJS, Flask, bash, DBMS (PostgreSQL/ MongoDB), Version Control (git), and Web Hosting basics.    Experience in machine learning model performance evaluation and optimization on edge devices Strong programming skills in Python, C++, Strong coding ethicsExcellent problem-solving and analytical skillsAbility to work independently and as part of a team  Experience with deploying AI models to embedded devicesExperience with deep learning frameworks such as PyTorch and TensorFlowExperience with cloud computing platforms such as AWS, Azure, or GCPExperience with computer vision libraries such as OpenCV, Scikit-Image",,,
DANA Indonesia,2 weeks ago,Be among the first 25 applicants,Data Scientist Lead,"Selecting features, building and optimizing classifiers using machine learning techniquesResearch and develop statistical learning models for data analysisCollaborate with product management and engineering departments to understand company needs and devise possible solutionsEnhancing data collection procedures to include information that is relevant for building analytic systemsManaging, grow, and coach data scientist teamProcessing, cleansing, and verifying the integrity of data used for analysisDoing ad-hoc analysis and presenting results in a clear mannerKeep up-to-date with the latest technology trendsCommunicate results and ideas to key decision-makers Bachelor’s Degree in Computer Science, Statistics, Applied Math or related field5+ years’ practical experience with data processing, database programming, and data analyticsStrong problem-solving skills with an emphasis on product development.Experience using statistical software packages (Python, R, SAS, SSRS) and understanding of Tableau Analytic ToolsExperience analyzing data from 3rd party providers (Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc)Good scripting and programming skillsAble to understand various data structures and common methods in data transformationData-oriented personalityGreat communication skills",Mid-Senior level,Engineering and Information Technology,IT Services and IT Consulting
Dikshatek Indonesia,2 months ago,69,AI, team work user guide etc  Experience and expert model builder berbasis prefeably phyton Experience data scientist Aplikasi ai model to api s1 or d3,Not Applicable,Other,IT Services and IT Consulting
Staffing Ninja,1 day ago,Be among the first 25 applicants,Machine Learning Engineer,"We are seeking an experienced and dedicated Machine Learning Engineer with 5+ years of expertise. The successful candidate will play a key role in designing and implementing cutting-edge AI/ML models and solutions using Google Cloud Platform technologies, including Vertex AI, TensorFlow, PyTorch, and Cloud TPUs. Design and implement models for content creation, design automation, Cloud Vision AI, and Natural Language AI.Utilize Google Cloud Platform technologies such as Vertex AI, TensorFlow, PyTorch, and Cloud TPUs.Develop a deep understanding of generative AI models, including Text-to-Speech applications.Collaboration and Code Quality:Collaborate with cross-functional teams to define requirements and brainstorm solutions.Write and maintain high-quality Python code.Stay up-to-date on the latest advancements in AI/ML research.Contribute to internal tools and infrastructure for AI/ML development.Apply supervised/unsupervised learning, Video analytics, Image analytics, NLP, and advanced analytics techniques.Conduct exploratory data analysis and implement descriptive, prescriptive, and predictive analytics.Demonstrate understanding and implementation of MLOps.Utilize GCP Data Engineering tools (BigQuery, Dataflow, Cloud Data Fusion, etc.). Bachelor’s or master’s degree in computer science, Data Science, or related field (Ph.D. advantageous).5+ years of experience in Large Language Models, Time Series Forecasting, NLP, Recommender Systems, Anomaly Detection, Data Mining, SQL, UI/UX Development, and Cloud Computing.Proficiency in Python and ML libraries (TensorFlow, PyTorch, Keras).Previous healthcare sector experience with knowledge of regulatory compliance.Strong data analysis and visualization skills.Excellent communication and teamwork skills. GCP Data Engineering understanding (BigQuery, Dataflow, Cloud Data Fusion, etc.).",Mid-Senior level,Information Technology,Financial Services
NRI (Nomura Research Institute),4 months ago,171,Machine Learning Engineer (MLE),"Translate and refine business goals into appropriate machine learning objectives.Design and implement ML/DL solutions and integrate them with various Big Data platforms and architectures.Create and maintain ML pipelines that are scalable, robust, and ready for production.Collaborate with domain experts, software developers, and data scientists.Troubleshoot ML/DL model issues, including recommendations for retrain, re-validate, and improvements/optimization. Hands-on experience in building ML models deployed into real-world business applications or research.Working knowledge of ML/DL algorithms (classification, regression, clustering, hyperparameter tuning, etc).Proficiency with Python and libraries for machine learning such as scikit-learn and pandas.Good understanding of Deep learning frameworks such as Tensorflow, Keras, PyTorch, MXNet, etc.Experience in using computer vision libraries such as OpenCV, PIL. Experience working with cloud services platform (AWS or GCP) to build ML/DL pipelines.Experience in multi-GPU model training with CUDA.Experience in ML experiment tracking tools (e.g. WandB, Neptune, TensorBoard).Experience in model deployment using Docker (e.g. AWS SageMaker, Google Kubernetes Engine).Experience in model compression or quantization for on-edge-device inference.Experience with Continuous Integration and Continuous Delivery(CI/CD).Relevant certifications in machine learning and cloud technologies (e.g., AWS, Coursera) would be a plus.",Associate,Engineering and Information Technology,IT Services and IT Consulting
,,,,,,,
TalentKompass Deutschland,1 week ago,163,Junior Python Developer (Remote Internship - IT),"Assist in the design, implementation, and maintenance of software applicationsCollaborate with cross-functional teams to gather requirements and develop solutionsConduct research on emerging software technologies and trendsParticipate in software debugging and performance optimizationTest and debug applications to ensure optimal performance and securitySupport the team with general administrative tasks as neededContribute to the creation of technical documentation and user guides Basic understanding of software development principles and practicesFamiliarity with Python and its associated librariesExcellent written and verbal communication skills in EnglishAbility to work independently and as part of a teamStrong analytical and problem-solving skillsKnowledge of database systems, such as MySQL, PostgreSQL, is a plusExperience with version control systems, such as Git, is a plus",Internship,Engineering and Information Technology,Human Resources Services
,,,,,,,
PT Wahana Ottomitra Multiartha Tbk,1 week ago,32,Corporate Data Scientist Department Head," Bertanggung jawab dalam pengumpulan informasi, riset, dan analisa terkait permasalahan yang sering terjadi di industri multifinance, serta menciptakan pendekatan dan inisiatif yang bertujuan untuk pencapaian target bisnis serta pengembangan perusahaan.",Entry level,Engineering and Information Technology,Banking and Financial Services
tiket.com,6 months ago,200,"Junior Software Engineer, Backend","Build and extend our backend code based on SOLID Principle and Clean CodeBuild APIs that serve our frontend apps – Benchmark and improve performanceMaintain and extend our test suiteRefactor and improve existing code to incorporate better patternsDocument and write about the workCreate unit test and implement self test to make sure the code is running wellAssist technical lead to review and follow up code that have been developed Bachelor degree or equivalent, preferably in Computer Science/Information TechnologyExperienced in using Golang and JavaExperience working with RDBMS or NoSQL is a plusExperience working with Redis and Memcached is a plusExperience with Elastic SearchExperience with CI/CD, TDD, Refactor/Rewrite systemExperience with Event-Driven Architecture such as Kafka or RabbitMQExperience with Git FlowExperience with Kubernetes is a plusKnows how to analyze logExperience with pair programming is a plusExperience with Linux syntax, Docker is a plusGood sense of prioritization and product knowledge/product ownershipCritical thinking, fast learner, and excellent communication skillsWell-motivated, responsible for the deadline, and can work under pressure",Not Applicable,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage"
Argus Labs,2 months ago,200,Software Engineer (Junior/Fresh Graduate),"Contribute to World Engine core protocol engineering. Participate in research engineering efforts on domains including but not limited to: compilers/interpreters and applied cryptography. Design, develop, and maintain the web platform product suite, ensuring its scalability, reliability, and performance. Collaborate with product managers, designers, and other engineers to define and implement new features and improvements. Ensure code quality through code reviews, testing, and automation. Participate in the entire software development lifecycle, from requirements gathering to deployment and maintenance.  This is a fresh graduate role; while no work experience is needed, we highly index on past demonstration of software engineering capabilities such as:Highly technical personal projects (compilers/interpreters, P2P, byzantine fault-tolerant distributed system, cryptography, etc)Competitive programming competitions (OSN, IOI, ICPC, USACO, Google Code Jam, etc)Capture-The-Flag competitions (GEMASTIK, DEFCON, PicoCTF, etc)Other related competitions/contests (Intel ISEF, Google Code-in, Google Summer of Code, etc)Computer Science (or other relevant technical degree) from reputable local or international universities. Fluent in both spoken and written English.  Highly technical personal projects (compilers/interpreters, P2P, byzantine fault-tolerant distributed system, cryptography, etc)Competitive programming competitions (OSN, IOI, ICPC, USACO, Google Code Jam, etc)Capture-The-Flag competitions (GEMASTIK, DEFCON, PicoCTF, etc)Other related competitions/contests (Intel ISEF, Google Code-in, Google Summer of Code, etc) Prior experience in GoPrior experience in Blockchain engineeringPrior experience in applied cryptography A note for the game industry veterans: no crunch :-)Flexible PTO (2 weeks required) + holidays100% employer-covered medical, dental, and vision insurance (US)401k (US)Up to $1500 desk set-up stipendCompany retreats",Entry level,Engineering and Information Technology,Computer Games
,,,,,,,
Staffing Ninja,1 week ago,94,Machine Learning Engineer,"We are seeking an experienced and dedicated Machine Learning Engineer with 5+ years of expertise. The successful candidate will play a key role in designing and implementing cutting-edge AI/ML models and solutions using Google Cloud Platform technologies, including Vertex AI, TensorFlow, PyTorch, and Cloud TPUs. Design and implement models for content creation, design automation, Cloud Vision AI, and Natural Language AI.Utilize Google Cloud Platform technologies such as Vertex AI, TensorFlow, PyTorch, and Cloud TPUs.Develop a deep understanding of generative AI models, including Text-to-Speech applications.Collaboration and Code Quality:Collaborate with cross-functional teams to define requirements and brainstorm solutions.Write and maintain high-quality Python code.Stay up-to-date on the latest advancements in AI/ML research.Contribute to internal tools and infrastructure for AI/ML development.Apply supervised/unsupervised learning, Video analytics, Image analytics, NLP, and advanced analytics techniques.Conduct exploratory data analysis and implement descriptive, prescriptive, and predictive analytics.Demonstrate understanding and implementation of MLOps.Utilize GCP Data Engineering tools (BigQuery, Dataflow, Cloud Data Fusion, etc.). Bachelor’s or master’s degree in computer science, Data Science, or related field (Ph.D. advantageous).5+ years of experience in Large Language Models, Time Series Forecasting, NLP, Recommender Systems, Anomaly Detection, Data Mining, SQL, UI/UX Development, and Cloud Computing.Proficiency in Python and ML libraries (TensorFlow, PyTorch, Keras).Previous healthcare sector experience with knowledge of regulatory compliance.Strong data analysis and visualization skills.Excellent communication and teamwork skills. GCP Data Engineering understanding (BigQuery, Dataflow, Cloud Data Fusion, etc.).",Mid-Senior level,Information Technology,"IT Services and IT Consulting, Information Services, and Financial Services"
,,,,,,,
Antler,1 day ago,Be among the first 25 applicants,Startup Founder - Data Scientist,"Identify as someone with deep expertise in data engineering/architecture/science, machine learning, artificial intelligence, or product developmentHave strong analytical skills with hands-on experience in conducting technological analyses and applying advanced analytics and Machine Learning methodologiesExecute on data collection plans from both structured and unstructured sources that help in data exploration, hypothesis testing, and statistical modelingDesign, develop, and implement models, proofs-of-concept and pre-product prototypesHave experience leading a team and maintaining an organized oversight of specific product delivery schedules The program runs for an initial 10 weeks, full-time in Jakarta - Indonesia and starting Feb 2024In the first phase (10 weeks), you are required to ideate and find your co-founder(s) from the cohort of 50-70 founders.At the end of first phase, you will present your team and business idea to the Antler Investment Committee. If accepted, you will receive a pre-seed investment of US$125,000 for 10% equity.If you get the investment, you will continue to be part of the program for another 3 months (second phase) throughout which Antler will work closely with you to accelerate your growth. At the end of second phase, Antler arranges a Demo Day where we invite VCs, institutional investors, and angel investors to help you connect with investors and raise your later investment round. Find Your Co-Founder – We actively support you to find the ideal co-founder. We select the top ~60-80 entrepreneurs out of thousands of applicants to join our cohort. The first two month is centered around supporting and facilitating sessions to ensure founders get every opportunity to meet their ideal co-founders from a diverse cohort of industry, commercial and technology leadersValidate Your Idea(s) – Founders go through a thorough problem and idea validation process; startups drive to first customer acquisition results with help of dedicated coachesAccess A Global Advisory Network - We provide hands-on support through an exceptional network of 475+ global and local advisors to give our founders an unfair advantage and all teams are invited to our alumni network and have direct access to other like-minded founders.Potential Pre-Seed Funding - At the end of the first phase, you will present your business idea with your team to the Antler Investment Committee. If accepted, you will receive a pre-seed investment of US$125,000 for 10% equity. Antler will work closely with you to accelerate your growth. At the end of second phase, Antler arranges a Demo Day where we invite VCs, institutional investors, and angel investors to help you connect with investors and raise your later investment round.",Mid-Senior level,"Product Management, Information Technology, and Strategy/Planning","IT Services and IT Consulting, Software Development, and Venture Capital and Private Equity Principals"
Traveloka,2 months ago,200,Data Scientist/Senior Data Scientist,"Collaborate with multiple business units to understand their challenges and goals.Translate business goals into technical requirements and actionable insightsDevelop, implement, and maintain data-driven solutions and systemsOversee and manage multiple data science projects, ensuring they meet the business objectives and are delivered on time. Bachelor’s degree in Computer Science, Data Science, Statistics, or a related field. Master’s degree or higher preferred.Minimum of 5 years experience in data science or a related role.Excellent understanding of business operations and the ability to translate business requirements into technical specifications.Strong expertise in Python with experience on ML/Stats libraries (scikit-learn, LGBM, XGBoost, etc).Proficient in data manipulation and analysis using SQL.Experience with cloud-based stack and Docker. GCP will be preferred.Proven experience in managing data projects from inception to completion.Exceptional interpersonal and communication skills, including the ability to describe complex technical concepts to non-technical stakeholders.Proactive, self-motivated, and able to work independently. Previous work in fraud detection or credit risk modeling will be a plus.Experience in deep learning frameworks like PyTorch or TensorFlow.Experience in mentoring or leading teams.",Mid-Senior level,Engineering and Information Technology,Software Development
Michael Page,1 week ago,53,Data Scientist - Investment Tech,"Financial Modeling:Design and build predictive models for diverse financial applications, including credit risk assessment, fraud detection, market analysis, and portfolio optimization.Deeply understand and translate complex financial data into actionable insights for stakeholders.Collaborate with business analysts and product managers to ensure models align with strategic objectives.Hardware Optimization (Bonus):Develop and implement advanced prediction models to optimize hardware resource allocation and utilization within financial applications.Leverage machine learning and deep learning techniques for predictive maintenance, workload forecasting, and dynamic resource allocation.This is a bonus skill and will be highly valued, but not mandatory for strong candidates.Data Management and Analysis:Access, acquire, and prepare financial data from various internal and external sources, ensuring data quality and integrity.Perform data cleaning, wrangling, and transformation tasks to prepare data for modeling.Analyze data to identify patterns, trends, and correlations that can inform business decisions and optimize hardware usage.Develop and maintain data pipelines for efficient data flow and access.Communication and Collaboration:Effectively communicate complex data insights and model results to stakeholders across different business units.Collaborate cross-functionally with engineers, product managers, and other data scientists to ensure seamless integration of models into existing systems.Stay up-to-date on the latest advancements in data science, financial technology, and hardware optimization, and actively share knowledge within the team. Design and build predictive models for diverse financial applications, including credit risk assessment, fraud detection, market analysis, and portfolio optimization.Deeply understand and translate complex financial data into actionable insights for stakeholders.Collaborate with business analysts and product managers to ensure models align with strategic objectives. Develop and implement advanced prediction models to optimize hardware resource allocation and utilization within financial applications.Leverage machine learning and deep learning techniques for predictive maintenance, workload forecasting, and dynamic resource allocation.This is a bonus skill and will be highly valued, but not mandatory for strong candidates. Access, acquire, and prepare financial data from various internal and external sources, ensuring data quality and integrity.Perform data cleaning, wrangling, and transformation tasks to prepare data for modeling.Analyze data to identify patterns, trends, and correlations that can inform business decisions and optimize hardware usage.Develop and maintain data pipelines for efficient data flow and access. Effectively communicate complex data insights and model results to stakeholders across different business units.Collaborate cross-functionally with engineers, product managers, and other data scientists to ensure seamless integration of models into existing systems.Stay up-to-date on the latest advancements in data science, financial technology, and hardware optimization, and actively share knowledge within the team. Master's degree in Statistics, Computer Science, Finance, or a related field, with a strong emphasis on quantitative analysis and modeling.Minimum 3 years of experience as a Data Scientist, preferably in a financial services or risk management setting.Proven track record of successfully developing and deploying impactful models for financial applications.Strong understanding of statistical modeling techniques, machine learning algorithms, and deep learning concepts.Proficiency in programming languages like Python, R, and/or SAS.Experience with data wrangling tools and cloud-based platforms.Excellent communication, collaboration, and problem-solving skills.Strong analytical and critical thinking abilities.Ability to work independently and as part of a team in a fast-paced environment. Competitive salary and benefits package.Opportunity to work on challenging and impactful projects in a dynamic and growing field.Collaborative and supportive work environment with a focus on continuous learning and development.Be part of a team at the forefront of financial technology and data-driven innovation.",Mid-Senior level,Information Technology,Software Development and Environmental Services
